TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,7,28,23,45,10XX NELSON ST,West End,490787.3166,5458775.129
Break and Enter Commercial,2020,9,18,6,15,10XX PACIFIC ST,West End,490246.7971,5458367.41
Break and Enter Commercial,2020,8,11,3,0,10XX PACIFIC ST,West End,490284.2663,5458343.17
Break and Enter Commercial,2020,7,19,0,0,10XX PARK DR,Marpole,490509.4185,5451309.027
Break and Enter Commercial,2020,8,19,4,0,10XX PARK DR,Marpole,490509.4185,5451309.027
Break and Enter Commercial,2020,1,13,23,0,10XX PARKER ST,Strathcona,494084.108,5458126.654
Break and Enter Commercial,2020,4,7,1,30,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.231
Break and Enter Commercial,2020,11,2,9,54,10XX RICHARDS ST,Central Business District,491097.481,5458263.204
Break and Enter Commercial,2020,1,10,0,56,10XX RICHARDS ST,Central Business District,491127.0236,5458305.723
Break and Enter Commercial,2020,4,9,5,45,10XX RICHARDS ST,Central Business District,491127.0236,5458305.723
Break and Enter Commercial,2020,4,26,5,0,10XX RICHARDS ST,Central Business District,491127.0236,5458305.723
Break and Enter Commercial,2020,8,1,5,30,10XX RICHARDS ST,Central Business District,491127.0236,5458305.723
Break and Enter Commercial,2021,1,1,4,48,10XX RICHARDS ST,Central Business District,491127.0236,5458305.723
Break and Enter Commercial,2020,6,22,2,34,10XX ROBSON ST,West End,490942.3287,5459086.387
Break and Enter Commercial,2020,10,19,19,0,10XX ROBSON ST,West End,490948.0239,5459080.759
Break and Enter Commercial,2020,2,12,19,6,10XX ROBSON ST,West End,490998.2462,5459018.273
Break and Enter Commercial,2020,1,15,22,0,10XX ROBSON ST,West End,491014.605,5459002.108
Break and Enter Commercial,2020,3,17,2,0,10XX ROBSON ST,West End,491014.605,5459002.108
Break and Enter Commercial,2020,10,16,3,30,10XX ROBSON ST,West End,491036.3006,5458993.524
Break and Enter Commercial,2021,1,24,17,50,10XX ROBSON ST,West End,491045.5704,5458984.363
Break and Enter Commercial,2020,2,27,8,22,10XX ROBSON ST,West End,491052.7754,5458964.388
Break and Enter Commercial,2020,5,9,4,46,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2020,7,5,22,0,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2021,1,30,19,42,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2021,2,15,17,35,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2020,4,3,7,0,10XX SEYMOUR ST,Central Business District,491103.7797,5458405.722
Break and Enter Commercial,2020,8,4,5,8,10XX SEYMOUR ST,Central Business District,491112.3583,5458414.444
Break and Enter Commercial,2020,6,1,9,30,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2020,3,13,20,0,10XX SW MARINE DR,Marpole,490456.6943,5450204.966
Break and Enter Commercial,2020,11,30,18,0,10XX SW MARINE DR,Marpole,490456.6943,5450204.966
Break and Enter Commercial,2020,8,13,16,30,10XX VENABLES ST,Strathcona,493994.0782,5458238.434
Break and Enter Commercial,2020,8,20,10,1,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2020,3,8,12,48,10XX VERNON DR,Strathcona,494285.1248,5458125.051
Break and Enter Commercial,2020,10,2,23,0,10XX W 10TH AVE,Fairview,490763.9406,5456643.593
Break and Enter Commercial,2020,10,16,11,30,10XX W 12TH AVE,Fairview,490648.0588,5456427.62
Break and Enter Commercial,2020,9,30,7,40,10XX W 13TH AVE,Fairview,490731.6196,5456332.382
Break and Enter Commercial,2020,4,14,14,35,10XX W 41ST AVE,Shaughnessy,490584.9335,5453485.905
Break and Enter Commercial,2020,3,19,22,0,10XX W 7TH AVE,Fairview,490672.055,5456938.927
Break and Enter Commercial,2020,11,12,0,44,10XX W 8TH AVE,Fairview,490737.2853,5456854.022
Break and Enter Commercial,2021,2,13,18,0,10XX W BROADWAY AVE,Fairview,490645.9489,5456744.871
Break and Enter Commercial,2020,4,30,17,15,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.81
Break and Enter Commercial,2020,4,30,17,45,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.81
Break and Enter Commercial,2020,4,30,18,7,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.81
Break and Enter Commercial,2021,2,8,12,40,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.81
Break and Enter Commercial,2020,10,18,18,0,10XX W BROADWAY AVE,Fairview,490721.7869,5456752.077
Break and Enter Commercial,2020,5,28,16,15,10XX W BROADWAY AVE,Fairview,490731.1096,5456742.691
Break and Enter Commercial,2020,2,29,4,46,10XX W BROADWAY AVE,Fairview,490779.127,5456750.609
Break and Enter Commercial,2020,4,15,7,1,10XX W BROADWAY AVE,Fairview,490779.127,5456750.609
Break and Enter Commercial,2020,1,21,4,30,10XX W CORDOVA ST,Central Business District,491400.6788,5459505.638
Break and Enter Commercial,2020,4,17,18,54,10XX W GEORGIA ST,Central Business District,491115.752,5459163.178
Break and Enter Commercial,2020,6,10,5,40,10XX W GEORGIA ST,Central Business District,491115.752,5459163.178
Break and Enter Commercial,2020,9,12,5,0,10XX W HASTINGS ST,Central Business District,491360.4863,5459439.561
Break and Enter Commercial,2020,6,28,20,11,10XX W PENDER ST,Central Business District,491263.9592,5459407.591
Break and Enter Commercial,2021,1,4,3,30,10XX W PENDER ST,Central Business District,491334.3085,5459373.682
Break and Enter Commercial,2021,1,11,5,50,10XX W PENDER ST,Central Business District,491334.3085,5459373.682
Break and Enter Commercial,2020,7,17,19,0,10XX W WATERFRONT RD,Central Business District,491433.832,5459568.858
Break and Enter Commercial,2020,4,19,1,39,10XX W WATERFRONT RD,Central Business District,491440.0383,5459565.768
Break and Enter Commercial,2020,6,18,8,40,11XX ALBERNI ST,West End,490894.9534,5459283.887
Break and Enter Commercial,2021,1,12,8,53,11XX ALBERNI ST,West End,490894.9534,5459283.887
Break and Enter Commercial,2020,1,13,13,55,11XX ALBERNI ST,West End,490945.1495,5459235.266
Break and Enter Commercial,2020,1,30,18,29,11XX ALBERNI ST,West End,490951.0549,5459229.546
Break and Enter Commercial,2020,3,13,6,45,11XX ALBERNI ST,West End,490951.0549,5459229.546
Break and Enter Commercial,2020,3,17,7,10,11XX ALBERNI ST,West End,490951.0549,5459229.546
Break and Enter Commercial,2020,11,28,11,24,11XX ALBERNI ST,West End,490980.582,5459200.945
Break and Enter Commercial,2020,4,2,3,32,11XX BARCLAY ST,West End,490656.3788,5459054.725
Break and Enter Commercial,2020,11,12,4,2,11XX BARCLAY ST,West End,490656.3788,5459054.725
Break and Enter Commercial,2020,11,21,23,27,11XX BARCLAY ST,West End,490656.3788,5459054.725
Break and Enter Commercial,2020,2,19,1,0,11XX BARCLAY ST,West End,490708.97,5459014.621
Break and Enter Commercial,2020,2,26,15,3,11XX BARCLAY ST,West End,490714.7318,5459008.804
Break and Enter Commercial,2020,3,4,12,30,11XX BARCLAY ST,West End,490749.3026,5458973.899
Break and Enter Commercial,2020,3,17,18,0,11XX BIDWELL ST,West End,489821.5559,5459300.2
Break and Enter Commercial,2020,3,4,15,0,11XX BROUGHTON ST,West End,490122.6897,5459046.175
Break and Enter Commercial,2020,6,23,21,0,11XX BROUGHTON ST,West End,490149.4839,5459059.911
Break and Enter Commercial,2021,2,5,19,30,11XX BROUGHTON ST,West End,490203.1403,5459113.687
Break and Enter Commercial,2020,9,27,21,0,11XX BURNABY ST,West End,490317.8309,5458622.134
Break and Enter Commercial,2021,1,25,15,40,11XX BURNABY ST,West End,490317.8309,5458622.134
Break and Enter Commercial,2020,1,17,17,35,11XX BURNABY ST,West End,490332.6063,5458607.668
Break and Enter Commercial,2020,1,23,0,0,11XX BURNABY ST,West End,490332.6063,5458607.668
Break and Enter Commercial,2021,1,22,6,35,11XX BURRARD ST,Central Business District,490652.6966,5458531.065
Break and Enter Commercial,2020,4,5,21,11,11XX BUTE ST,West End,490346.8568,5458842.259
Break and Enter Commercial,2020,10,16,1,4,11XX BUTE ST,West End,490346.8568,5458842.259
Break and Enter Commercial,2021,1,8,21,0,11XX COMMERCIAL DR,Grandview-Woodland,494935.803,5457925.347
Break and Enter Commercial,2020,9,4,6,44,11XX DAVIE ST,West End,490317.6853,5458769.018
Break and Enter Commercial,2020,11,6,5,23,11XX DAVIE ST,West End,490334.414,5458751.95
Break and Enter Commercial,2020,7,17,9,54,11XX DAVIE ST,West End,490342.9686,5458743.222
Break and Enter Commercial,2020,2,28,8,0,11XX DAVIE ST,West End,490395.1231,5458703.076
Break and Enter Commercial,2020,12,27,1,0,11XX DAVIE ST,West End,490411.405,5458673.401
Break and Enter Commercial,2020,11,6,6,43,11XX DAVIE ST,West End,490425.6625,5458658.855
Break and Enter Commercial,2020,8,15,8,0,11XX DAVIE ST,West End,490431.3656,5458653.037
Break and Enter Commercial,2020,11,10,6,30,11XX DAVIE ST,West End,490446.4503,5458650.71
Break and Enter Commercial,2020,8,11,4,43,11XX DAVIE ST,West End,490449.3018,5458647.801
Break and Enter Commercial,2020,3,14,0,0,11XX DENMAN ST,West End,489714.979,5459422.613
Break and Enter Commercial,2020,6,21,1,27,11XX DENMAN ST,West End,489714.979,5459422.613
Break and Enter Commercial,2020,2,17,0,0,11XX E 14TH AVE,Mount Pleasant,494112.0583,5456118.084
Break and Enter Commercial,2020,10,15,4,54,11XX E HASTINGS ST,Strathcona,494132.2128,5458699.091
Break and Enter Commercial,2020,6,30,16,20,11XX E KENT AVE S,Sunset,493938.2067,5450640.475
Break and Enter Commercial,2020,3,21,22,15,11XX FRANKLIN ST,Strathcona,494139.1409,5458847
Break and Enter Commercial,2020,6,2,5,56,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
Break and Enter Commercial,2020,6,5,2,20,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
